iter	RMSE	R2
0	165.7632889	0.3718762638
1	141.7056921	0.5409678684
2	128.2660094	0.6239101073
3	121.7128891	0.6613573621
4	118.4656158	0.6791861358
5	116.0931198	0.691907263
6	114.3185916	0.7012539128
7	112.9650339	0.7082864723
8	111.793645	0.7143049417
9	111.1081715	0.717797734
10	110.5736015	0.7205066972
11	110.2523354	0.7221284453
12	109.9900785	0.7234488178
13	109.8217111	0.7242948317
14	109.7038036	0.7248865226
15	109.59749	0.7254194875
16	109.4579634	0.7261181694
17	109.4375668	0.726220231
18	109.3608327	0.7266040278
19	109.1156616	0.7278284816
20	109.000167	0.7284043423
21	108.9791642	0.7285089977
22	108.8412167	0.7291958775
23	108.7436139	0.729681344
24	108.7357234	0.7297205715
25	108.6678632	0.7300578205
26	108.4894144	0.7309436629
27	108.4591505	0.7310937521
28	108.386093	0.7314558978
29	108.213146	0.7323122228
30	108.155828	0.7325957237
31	108.1227946	0.7327590418
32	107.9750292	0.7334889895
33	107.8707559	0.7340034894
34	107.8416348	0.7341470885
35	107.6673687	0.7350056013
36	107.5895825	0.7353883629
37	107.5889112	0.7353916646
38	107.3973763	0.7363329627
39	107.3540883	0.7365454693
40	107.3522071	0.7365547023
41	107.3477595	0.736576531
42	107.2750023	0.7369334915
43	107.2458953	0.7370762282
44	107.2062836	0.7372704163
45	107.1303715	0.7376423591
46	107.0551278	0.7380107667
47	107.0526518	0.7380228851
48	107.0104179	0.7382295522
49	106.9967462	0.7382964358
50	106.8778569	0.7388776961
51	106.8758342	0.7388875798
52	106.7863456	0.7393246625
53	106.7480765	0.739511466
54	106.6877144	0.7398059757
55	106.6582308	0.7399497674
56	106.6392831	0.7400421543
57	106.5471215	0.7404912904
58	106.544019	0.7405064033
59	106.5216075	0.7406155606
60	106.4675784	0.7408786198
61	106.4633932	0.7408989916
62	106.4188884	0.7411155699
63	106.3242787	0.7415756776
64	106.2239169	0.7420633125
65	106.1603227	0.7423720632
66	106.1054642	0.7426382535
67	106.099036	0.742669436
68	105.9921315	0.7431877432
69	105.9683678	0.7433028863
70	105.9338664	0.7434700111
71	105.8761683	0.7437493787
72	105.8666789	0.743795311
73	105.8020942	0.7441078144
74	105.7489054	0.7443650338
75	105.6976053	0.744612997
76	105.6833375	0.7446819403
77	105.6830325	0.7446834141
78	105.666707	0.7447622884
79	105.66074	0.744791114
80	105.651725	0.7448346614
81	105.5993338	0.7450876644
82	105.5980214	0.7450940007
83	105.5669578	0.7452439492
84	105.5249537	0.7454466388
85	105.5248389	0.7454471927
86	105.5214175	0.7454636987
87	105.521322	0.7454641595
88	105.446007	0.7458273758
89	105.3833514	0.7461293426
90	105.3345381	0.746364473
91	105.3102183	0.746481579
92	105.2793805	0.746630032
93	105.2412201	0.7468136754
94	105.2356459	0.7468404951
95	105.1202631	0.7473953308
96	105.0824543	0.7475770076
97	105.0109094	0.7479206129
98	105.0018118	0.7479642887
99	104.9466737	0.7482289146
