iter	Passed	Remaining
0	40	4047
1	54	2693
2	114	3686
3	149	3597
4	199	3783
5	242	3793
6	294	3909
7	335	3859
8	385	3902
9	424	3820
10	459	3713
11	498	3652
12	529	3546
13	561	3447
14	579	3281
15	609	3201
16	641	3130
17	653	2975
18	683	2914
19	715	2861
20	748	2817
21	785	2783
22	820	2748
23	861	2727
24	906	2718
25	950	2705
26	993	2685
27	1031	2651
28	1064	2605
29	1096	2558
30	1129	2514
31	1164	2473
32	1197	2430
33	1229	2387
34	1263	2346
35	1306	2323
36	1346	2292
37	1387	2263
38	1429	2235
39	1465	2198
40	1498	2156
41	1537	2123
42	1590	2108
43	1644	2093
44	1691	2067
45	1732	2033
46	1777	2004
47	1821	1973
48	1862	1938
49	1895	1895
50	1928	1852
51	1966	1815
52	2028	1798
53	2060	1755
54	2092	1712
55	2124	1669
56	2161	1630
57	2199	1592
58	2239	1556
59	2286	1524
60	2328	1488
61	2369	1452
62	2409	1414
63	2449	1377
64	2483	1337
65	2515	1295
66	2549	1255
67	2582	1215
68	2617	1175
69	2651	1136
70	2690	1099
71	2736	1064
72	2800	1035
73	2856	1003
74	2906	968
75	2949	931
76	2989	893
77	3022	852
78	3053	811
79	3084	771
80	3117	731
81	3151	691
82	3185	652
83	3218	612
84	3249	573
85	3286	535
86	3319	495
87	3349	456
88	3401	420
89	3439	382
90	3475	343
91	3509	305
92	3543	266
93	3579	228
94	3614	190
95	3654	152
96	3701	114
97	3752	76
98	3801	38
99	3865	0
